,Survived,Pclass,Sex,Age,Fare,Embarked,num_mems
65,1,2,1,4,1,1,1
66,1,3,1,3,1,0,1
67,1,1,0,7,1,1,1
68,1,1,0,5,1,2,1
69,1,1,1,8,6,1,6
70,0,3,1,4,1,0,1
71,0,3,0,3,1,1,1
72,1,3,1,4,1,1,1
73,0,1,0,4,1,2,1
74,1,1,1,5,5,2,1
75,1,1,0,5,5,2,1
76,0,3,0,4,1,1,1
77,1,1,1,8,1,1,3
78,1,2,0,4,1,1,1
79,0,3,1,4,1,0,1
80,1,3,0,1,1,2,3
81,0,1,0,9,5,1,2
82,1,1,0,7,1,1,1
83,0,3,0,4,1,1,1
84,0,2,0,4,1,0,1
85,0,3,0,4,1,2,2
86,0,3,1,4,1,0,1
87,0,3,1,3,1,1,1
88,0,3,1,4,1,0,1
89,1,2,0,1,1,1,3
90,0,3,1,3,1,1,2
91,0,3,0,4,1,1,1
92,0,1,1,4,2,1,4
93,0,3,0,4,1,1,1
94,0,1,0,4,1,2,1
95,0,3,0,4,1,1,1
96,1,1,1,10,2,1,2
97,0,3,0,4,1,1,1
98,0,3,1,3,1,1,1
99,0,3,0,5,1,1,1
100,1,1,1,6,2,2,2
101,0,2,0,4,1,1,2
102,0,3,0,4,1,0,1
103,0,3,0,4,1,1,1
104,1,3,1,3,1,2,3
105,0,3,0,4,1,1,1
106,0,3,0,3,1,0,1
107,0,3,0,4,1,0,1
108,0,3,0,4,1,1,1
109,0,2,0,3,1,1,1
110,0,2,0,6,1,2,1
111,0,3,1,4,1,0,1
112,1,1,1,5,1,2,1
113,1,3,1,3,1,0,1
114,1,1,1,9,5,1,2
115,0,3,0,3,1,2,2
116,0,3,0,4,1,2,1
117,1,3,1,1,1,1,3
118,1,1,0,5,2,2,1
119,1,2,1,4,1,1,2
120,1,2,1,2,1,1,1
121,0,3,0,4,1,0,2
122,1,1,1,5,2,2,2
123,0,3,0,4,1,1,1
124,0,3,0,4,1,0,1
125,0,3,1,3,1,1,2
126,0,3,0,3,1,1,1
127,0,3,1,4,1,0,3
128,0,2,0,6,1,1,1
129,0,3,0,4,1,1,1
130,0,3,0,5,1,1,1
131,1,1,0,7,1,2,1
132,0,3,1,4,1,1,5
133,0,3,0,4,1,2,2
134,0,3,0,6,1,1,1
135,0,3,0,4,1,1,1
136,0,3,0,4,1,2,1
137,1,2,0,4,1,1,1
138,1,3,1,4,1,1,1
139,0,3,0,6,1,1,8
140,0,3,1,2,1,1,8
141,1,1,1,5,3,1,1
142,0,1,0,9,6,2,5
143,1,2,0,4,1,1,1
144,0,1,0,6,1,1,1
145,0,3,0,5,1,1,4
146,1,1,0,4,2,1,1
147,0,3,0,3,1,1,1
148,0,1,0,4,1,1,1
149,0,2,0,4,1,1,3
150,1,1,1,4,2,2,2
151,0,3,0,4,1,2,1
152,0,3,0,8,1,1,1
153,1,3,1,5,1,1,3
154,0,3,0,2,1,1,7
155,0,3,0,4,1,1,1
156,1,1,1,4,5,1,1
157,1,3,1,4,1,1,1
158,0,1,0,6,1,1,1
159,1,3,1,4,1,1,3
160,0,3,1,4,1,0,1
161,1,3,0,1,1,2,3
162,1,2,1,4,1,1,1
163,0,3,0,4,1,1,1
164,0,2,0,6,1,1,1
165,1,3,1,4,1,1,3
166,1,1,0,7,1,2,1
167,0,3,0,3,1,1,5
168,1,1,1,4,1,2,1
169,0,3,1,3,1,1,1
170,0,3,0,4,1,1,1
171,0,3,0,4,1,2,1
172,0,3,0,4,1,1,2
173,0,3,0,4,1,2,1
174,0,3,0,6,1,1,7
175,1,2,1,2,1,1,3
176,1,2,1,3,1,1,1
177,1,1,0,8,2,2,2
178,1,2,1,5,1,1,4
179,1,1,1,9,2,2,3
180,1,2,0,4,1,1,1
181,1,1,0,5,2,2,3
182,1,1,1,3,2,1,2
183,0,3,0,4,1,0,1
184,1,1,1,4,5,2,3
185,0,2,0,6,1,1,1
186,1,2,1,3,1,1,2
187,1,3,0,3,1,1,3
188,0,3,1,4,2,1,11
189,0,2,0,6,1,1,1
190,0,2,0,5,1,1,2
191,0,1,0,4,1,1,1
192,0,3,0,2,1,1,3
193,0,2,0,9,1,0,1
194,0,2,0,2,1,1,3
195,0,3,0,5,1,1,1
196,1,1,0,1,3,2,3
197,0,3,1,3,1,1,1
198,1,2,0,4,1,1,1
199,1,3,1,4,1,1,1
200,0,3,1,4,1,0,1
201,1,3,0,1,1,1,3
202,0,1,0,7,5,2,2
203,1,2,1,2,1,1,3
204,1,2,0,4,1,1,1
205,0,1,0,4,1,2,1
206,0,3,1,5,1,0,1
207,1,2,0,4,1,1,1
208,1,1,1,5,1,2,1
209,0,3,0,4,1,1,1
210,0,3,0,5,1,1,1
211,0,3,0,4,1,1,1
212,0,2,0,3,2,1,1
213,0,2,1,8,1,1,2
214,1,3,1,5,1,1,7
215,0,1,0,6,1,1,1
216,0,3,1,4,1,0,1
217,0,1,0,8,4,1,3
218,1,1,1,7,5,2,3
219,0,3,0,4,1,1,1
220,1,2,1,4,1,2,2
221,0,3,0,3,1,1,1
222,1,2,1,3,1,1,1
223,0,3,0,3,1,1,1
224,1,1,1,7,1,2,1
225,0,3,1,4,1,2,3
226,0,3,0,4,1,1,1
227,0,3,1,4,1,0,1
228,0,3,0,6,1,1,1
229,0,2,0,5,1,1,1
230,0,2,0,2,2,1,1
231,1,1,1,3,1,1,1
232,0,3,0,3,1,1,2
233,0,3,0,4,1,0,1
234,1,1,0,6,2,2,2
235,0,3,0,3,1,1,1
236,0,1,0,9,2,2,2
237,0,3,0,3,1,2,1
238,1,2,1,3,1,1,3
239,1,1,1,7,3,2,2
240,1,1,1,8,1,2,1
241,1,2,1,6,1,1,3
242,0,1,0,6,3,2,3
243,0,3,0,4,1,1,1
244,0,3,0,4,1,1,4
245,1,1,0,6,2,1,2
246,1,2,1,3,1,1,1
247,0,2,0,6,1,1,3
248,1,2,1,4,1,1,2
249,1,3,1,4,1,2,2
250,1,2,1,1,1,1,4
251,0,3,0,3,1,1,1
252,0,1,0,4,3,2,2
253,0,3,0,4,1,1,1
254,0,3,0,5,1,1,1
255,0,3,0,4,1,1,1
256,0,3,0,4,1,0,1
257,0,3,0,4,1,1,1
258,1,2,1,3,1,1,1
259,0,3,0,3,1,1,1
260,0,3,0,5,1,1,2
261,0,3,0,3,1,1,1
262,1,2,1,4,1,1,3
263,1,3,1,1,1,1,3
264,0,2,0,4,1,2,1
265,0,3,0,4,1,1,1
266,0,1,0,4,1,1,1
267,0,3,0,4,1,1,1
268,1,3,1,4,1,1,1
269,0,3,0,3,1,1,1
270,0,1,0,7,2,2,1
271,0,3,0,4,1,0,1
272,1,1,1,4,3,2,2
273,1,3,1,4,1,0,2
274,0,3,0,4,1,2,1
275,1,2,1,3,1,1,2
276,1,2,0,4,1,1,1
277,0,2,0,6,1,1,2
278,0,2,0,4,1,1,2
279,0,2,0,3,1,1,1
280,1,3,1,4,1,1,1
281,1,3,0,1,1,1,3
282,0,3,1,4,1,0,1
283,0,3,1,2,1,2,3
284,1,3,1,1,1,1,3
285,0,3,0,5,1,1,1
286,0,3,0,4,1,1,1
287,1,1,0,4,2,1,2
288,0,3,0,4,1,2,1
289,0,3,0,4,1,1,1
290,0,1,0,4,1,1,1
291,0,3,1,4,1,0,1
292,0,3,0,4,1,2,1
293,1,1,0,7,2,1,3
294,0,3,0,5,1,1,1
295,0,3,0,4,1,1,1
296,1,2,1,1,1,2,4
297,1,3,0,4,1,2,3
298,0,1,0,4,1,1,1
299,0,3,0,4,1,1,1
300,0,3,0,5,1,1,1
301,0,2,0,4,1,2,1
302,0,2,0,6,1,1,2
303,0,3,0,4,1,1,1
304,0,3,1,4,1,0,1
305,1,1,1,9,1,1,3
306,0,1,0,4,3,1,4
307,1,3,0,1,1,1,2
308,1,1,0,8,2,1,3
309,0,3,1,6,1,1,2
310,0,3,0,3,1,1,1
311,0,3,0,3,1,2,1
312,0,3,0,4,1,1,1
313,0,3,1,5,1,0,1
314,1,1,1,8,3,2,1
315,1,3,1,3,1,0,1
316,0,1,0,8,3,2,2
317,0,2,0,3,1,1,1
318,0,3,0,4,1,1,1
319,1,2,0,3,1,1,3
320,0,3,0,4,1,1,1
321,0,3,0,4,1,2,1
322,1,2,0,4,1,1,1
323,1,1,0,5,1,1,1
324,1,1,1,6,5,1,1
325,0,3,0,4,1,1,1
326,1,2,1,2,1,1,4
327,0,1,0,7,2,2,1
328,0,2,0,4,1,1,2
329,0,2,0,3,1,1,1
330,1,2,1,7,1,1,3
331,0,1,0,6,1,2,1
332,0,3,0,4,1,2,1
333,1,3,1,3,1,2,3
334,0,3,0,4,1,1,1
335,0,1,0,4,1,1,1
336,0,2,0,5,1,1,1
337,0,3,0,6,1,2,3
338,1,2,0,4,1,1,1
339,0,3,0,4,1,2,1
340,0,2,0,3,1,1,1
341,0,3,0,5,1,1,1
342,0,3,0,4,2,1,11
343,1,1,1,8,10,2,2
344,1,3,0,4,1,1,3
345,0,3,1,3,1,1,1
346,1,2,0,4,1,1,1
347,0,3,1,5,1,2,1
348,1,2,0,4,1,1,1
349,1,2,1,5,1,1,1
350,1,1,1,6,2,2,2
351,1,2,0,4,1,1,1
352,0,2,0,3,2,1,1
353,0,2,0,7,2,1,4
354,1,3,1,1,1,1,4
355,1,1,0,7,1,1,1
356,1,1,1,8,2,1,3
357,0,3,0,4,1,1,1
358,0,3,0,4,1,0,1
359,0,3,1,4,1,1,2
360,0,3,0,2,2,1,11
361,1,2,1,4,1,2,3
362,1,2,1,5,1,1,1
363,0,3,0,4,1,1,1
364,1,1,1,4,2,2,2
365,0,3,1,4,2,1,11
366,0,3,0,4,1,2,2
367,0,3,1,3,1,1,1
368,1,1,1,6,2,2,2
369,0,2,0,4,1,2,1
370,0,2,0,3,1,1,2
371,1,1,1,5,3,2,1
372,1,1,0,7,1,1,1
373,0,2,0,6,1,1,1
374,1,1,1,8,2,1,3
375,1,1,1,6,6,2,1
376,1,3,1,3,1,1,3
377,0,2,0,3,1,1,1
378,0,1,0,8,1,1,1
379,1,3,0,1,1,1,7
380,0,3,0,4,1,0,1
381,0,3,0,4,1,0,1
382,1,3,1,4,1,1,1
383,0,3,1,3,1,1,2
384,1,2,0,4,1,1,1
385,1,2,1,4,2,1,4
386,0,3,0,4,1,1,1
387,0,2,0,8,1,1,1
388,0,3,0,3,1,0,1
389,0,3,0,1,1,1,5
390,1,1,0,4,2,1,1
391,1,1,1,7,1,1,2
392,0,3,0,2,1,1,3
393,0,2,0,7,1,1,1
394,0,3,0,4,1,1,5
395,1,1,1,3,2,1,2
396,0,3,0,4,1,0,1
397,1,1,1,7,2,2,3
398,0,3,0,3,1,1,1
399,0,3,0,5,1,0,1
400,1,1,1,4,4,1,1
401,0,2,0,5,1,1,2
402,1,1,1,3,2,2,2
403,0,1,0,3,1,1,1
404,1,1,0,6,1,2,2
405,0,2,0,3,1,2,1
406,0,2,0,4,1,1,2
407,0,1,0,7,5,2,3
408,0,3,1,4,1,0,1
409,1,3,1,1,1,1,3
410,0,3,1,4,1,0,1
411,1,1,1,5,2,0,2
412,1,3,1,4,1,1,1
413,0,3,0,4,1,1,1
414,1,1,1,6,3,2,1
415,0,3,0,6,1,1,1
416,0,3,0,4,1,1,1
417,1,3,0,4,1,2,3
